lines_of_code,cyclomatic_complexity,number_of_functions,number_of_classes,depth_of_inheritance,coupling_between_objects,lack_of_cohesion,number_of_parameters,number_of_variables,number_of_comments,code_duplication,test_coverage,code_churn,developer_experience,module_age_days,has_bug,module_name
509,10,25,4,2,14,3,4,18,45,0.17559110658437793,0.5391296492493631,19,8.537330805413795,404,1,module_245
460,9,22,6,5,16,3,4,15,50,0.04463234357519952,0.418125142956154,15,6.583516726320605,384,1,module_246
471,13,20,4,4,5,6,5,10,45,0.03648055316650638,0.934555298512042,30,3.848831067985344,376,1,module_247
472,12,22,5,2,12,0,4,20,42,0.23575675087773537,0.48925230269268577,19,7.629572420908302,369,1,module_248
477,15,19,5,1,11,4,1,14,46,0.20812377062866075,0.6112990239842717,15,3.072290777952984,404,1,module_249
533,8,21,4,2,9,5,1,20,53,0.2303786701894886,0.9263188933981548,25,6.369484284987475,383,0,module_250
511,7,15,5,1,3,1,6,20,39,0.04573868226126626,0.6870084426338703,21,4.621297087174616,352,0,module_251
478,12,20,3,2,15,5,4,12,53,0.27438557681113795,0.952994860538094,11,2.348963819239331,380,1,module_252
476,17,13,4,3,3,4,3,15,55,0.03993348396670763,0.9485152902529272,23,4.719165179751036,350,1,module_253
476,9,22,6,2,6,2,2,11,65,0.26101109045931864,0.6231207139256046,10,3.7925274650868057,382,0,module_254
470,9,13,6,0,5,7,7,16,53,0.10571378739177938,0.7076678289133593,22,2.0099987353757927,392,0,module_255
479,14,16,1,3,14,2,2,15,68,0.03163022791024179,0.4612199915990558,25,8.414454057938727,350,1,module_256
500,9,17,3,7,9,2,3,17,51,0.08603068816965777,0.9933750731608142,15,5.487243007911245,386,0,module_257
508,10,29,4,2,17,2,3,17,63,0.054434404264164904,0.4948216622882564,28,4.117206450442784,384,1,module_258
455,6,25,6,2,8,2,3,12,63,0.14720091560751425,0.8483148915866658,26,5.544678247326558,324,0,module_259
522,6,17,4,2,4,5,5,18,48,0.2849236044119306,0.5190783421086581,29,7.791248057576109,317,0,module_260
477,8,17,3,2,13,3,3,16,54,0.09836134847475554,0.5191295834628495,24,1.164658538973246,359,1,module_261
492,7,28,14,2,13,0,4,11,57,0.1836296957046341,0.37270404869066226,23,5.92076584516259,338,0,module_262
508,11,23,5,1,9,0,4,25,56,0.2675162627219891,0.6919270675576058,19,5.312357049555711,384,1,module_263
498,15,35,4,1,6,1,7,13,55,0.1890221789088696,0.47138263668974645,22,9.037631723635663,346,1,module_264
439,12,25,5,3,6,5,4,13,53,0.1086597422609293,0.4038763304303331,15,6.003744929090325,354,1,module_265
514,10,22,5,3,8,5,0,18,50,0.29725173815276373,0.4586666861617134,18,2.235905582851606,386,1,module_266
501,8,27,7,2,5,1,5,12,58,0.056224080432160095,0.4757652099448209,21,4.498148937566262,372,0,module_267
467,11,9,7,2,8,5,5,18,50,0.1569768044686524,0.6528584192836402,24,6.5896243484732695,325,1,module_268
502,12,25,7,2,9,3,3,15,54,0.23901164962103918,0.5701461255888935,22,1.4134042635020638,368,1,module_269
484,8,19,2,0,13,5,5,19,50,0.00019466087316729607,0.35284319671537206,23,8.961841876578518,348,1,module_270
480,12,19,5,3,5,5,5,20,48,0.2106129756427311,0.6752200080271027,12,1.6100410664165887,336,1,module_271
469,12,28,3,2,8,2,5,16,55,0.07994966901178159,0.8514232161121353,18,1.2753201506173617,319,1,module_272
506,7,17,7,2,7,4,4,12,53,0.050918016807563145,0.7019646126257967,22,1.0181401669019823,368,0,module_273
520,12,18,2,1,9,1,2,12,49,0.08225833901048743,0.9821781765762394,17,7.153700424695693,385,1,module_274
463,8,18,6,3,11,2,1,12,38,0.29004492775193524,0.36940514570113,22,5.103280785004014,349,1,module_275
505,4,22,4,5,3,4,1,20,51,0.26758057777190564,0.8748066357306765,20,1.9253592480619073,371,0,module_276
496,5,17,8,0,11,5,5,12,48,0.06412633693911075,0.6539848689281331,18,8.70587670390005,366,0,module_277
485,12,14,5,0,9,1,2,16,49,0.035108031935533364,0.6651166242816596,18,2.824482466831658,365,1,module_278
509,9,19,1,1,5,1,1,13,45,0.10924578135434028,0.6633699542546838,20,3.9369174307396224,361,0,module_279
491,9,12,2,2,6,1,3,18,48,0.17770094403002204,0.5277231795353469,23,2.5994932646344937,388,0,module_280
507,7,25,3,2,6,1,3,13,48,0.26014338857433617,0.5271885099681767,19,9.340806679503462,403,0,module_281
466,8,19,6,1,4,1,4,17,42,0.2898270375120233,0.742291154649733,22,7.822601048548322,324,0,module_282
482,11,26,8,5,3,2,6,11,49,0.22534601045192962,0.33133555976818146,23,7.515580569798453,388,0,module_283
477,8,21,4,0,7,2,8,12,49,0.17970216381049672,0.7121502317112625,22,1.3959642706551385,370,0,module_284
476,11,19,3,1,2,5,3,16,41,0.04269960783930508,0.8072135027476408,24,5.70431533815429,361,0,module_285
461,11,21,6,2,9,2,5,16,58,0.022208512911993317,0.5494284054327926,16,6.179071930702664,367,1,module_286
494,7,24,6,2,6,5,4,12,53,0.17880806355876033,0.4521498576217433,16,4.442687560744142,403,0,module_287
468,12,15,8,3,4,4,6,8,71,0.16171923173007813,0.4493708389060331,21,3.8958062526788266,391,1,module_288
523,8,15,6,0,12,6,7,17,58,0.2538264323202306,0.35728775734119617,21,8.667485741969081,379,1,module_289
476,17,21,6,2,4,6,9,18,48,0.09678175525653115,0.3628035234444858,16,1.2071493221907885,363,1,module_290
541,7,21,5,0,7,6,2,10,47,0.011907257204943044,0.4166815077362149,22,6.628193634493602,353,0,module_291
505,12,18,4,1,9,1,4,8,47,0.12711248072730996,0.31342103353716094,21,4.548222225619899,372,1,module_292
519,9,21,5,4,6,2,5,14,56,0.2907546911813218,0.48636478526692895,20,6.993556130289614,373,0,module_293
488,11,22,5,6,8,5,1,18,38,0.2386724714809569,0.5144812804735721,22,2.7812579121553305,379,1,module_294
500,9,23,6,0,7,5,4,19,50,0.010131652092681942,0.9966548773492916,30,3.1479341916581904,357,1,module_295
469,7,16,11,3,8,2,6,14,45,0.2624036711694526,0.9941814163592877,19,6.281684260091209,367,0,module_296
486,21,14,8,0,9,5,2,22,47,0.14150684688639523,0.43093419278595935,15,9.819446916572211,380,1,module_297
474,5,22,7,0,8,4,3,16,47,0.10943040954538674,0.4491225106678471,16,9.772152246876855,352,0,module_298
502,15,15,7,1,8,3,3,16,55,0.10402186224083747,0.6443344593923027,22,3.240828854296172,323,1,module_299
489,7,25,4,4,8,2,5,13,54,0.17854327591165933,0.4041490336163971,21,1.921159272931395,399,0,module_300
488,12,22,8,3,8,2,4,18,59,0.15917982553222876,0.6528275857107342,23,6.313089141369971,377,1,module_301
483,11,11,6,0,7,2,2,16,42,0.1969881732504789,0.5795727933635519,20,4.779843472662655,348,1,module_302
518,11,25,2,0,12,2,6,19,50,0.172092439512014,0.5272360237349106,20,7.855180416736719,354,1,module_303
498,12,22,4,0,10,3,7,13,41,0.04318337245251556,0.8758236195668425,10,5.751853527506492,346,1,module_304
490,7,31,0,2,4,6,4,15,48,0.07717080262749546,0.8796823899951403,16,5.59528125396077,383,0,module_305
470,12,21,6,4,10,1,4,20,55,0.2523088716305502,0.9915226268886086,20,6.818138813987371,361,1,module_306
545,7,23,0,2,9,4,1,8,56,0.19897755440868897,0.45616167985710754,17,2.137766003640857,376,0,module_307
457,8,16,7,3,7,1,3,17,67,0.13452018762442233,0.9217942480006223,15,7.094455566999109,351,0,module_308
505,4,27,9,0,8,2,2,10,55,0.054780429550159604,0.6764921507717516,17,5.3966773058990825,367,0,module_309
472,12,20,7,3,12,4,5,16,54,0.0023073107931935732,0.7140216019326464,19,8.381323590709982,377,1,module_310
479,12,14,2,5,4,2,7,14,40,0.09356622095658541,0.9274052500327683,27,2.2483615033433657,338,1,module_311
475,16,16,4,2,6,2,6,16,50,0.016454087078000623,0.959841557464824,18,3.706723442047635,394,1,module_312
511,7,22,8,4,9,6,4,15,39,0.14468523992623653,0.8087678803904461,25,9.552217366139718,375,0,module_313
491,12,24,5,2,10,4,3,11,52,0.24654043582746255,0.5434897023545867,16,5.977655913610192,365,1,module_314
493,10,19,5,3,17,1,3,8,56,0.08561959841468919,0.6427675927679537,21,9.36370899778591,339,1,module_315
496,9,17,6,1,9,1,5,21,48,0.25432624846651486,0.7305377048378769,23,7.20131592800691,368,0,module_316
498,11,21,2,1,7,3,7,9,62,0.21136931882597682,0.8800480272902678,26,9.337882284416132,360,0,module_317
517,8,27,4,1,4,3,3,20,46,0.03757869880645961,0.7605633937642888,21,3.86043655924432,363,0,module_318
481,13,27,7,5,13,3,6,11,46,0.193368567380875,0.5558133316813361,17,1.814803825322415,373,1,module_319
492,11,19,3,2,7,4,4,18,58,0.04550394219166296,0.592516315952206,22,8.22017588408289,384,0,module_320
535,12,22,6,3,8,0,5,21,36,0.1964372760824756,0.3353063914274923,24,8.240218772161029,380,1,module_321
469,9,15,2,0,7,3,4,11,51,0.04281434541843183,0.946987502305995,19,6.569441151780829,368,0,module_322
508,16,13,8,1,9,3,3,10,53,0.1177534098046698,0.36168330933064524,26,6.21613182845649,346,1,module_323
472,13,13,10,3,8,2,8,11,58,0.1699782810714581,0.7059515534798813,24,9.234173536086557,354,1,module_324
508,9,24,5,2,12,5,5,8,52,0.01511225142718252,0.9101563168671751,26,2.5884862031937783,350,1,module_325
533,8,14,4,1,9,2,8,11,50,0.04599250345635821,0.594605674660505,20,6.548841742336903,372,0,module_326
474,16,15,4,1,7,4,3,13,41,0.09612264751567393,0.86008784125796,22,1.4479354973998961,364,1,module_327
483,13,25,8,1,8,3,6,19,65,0.1386960257315584,0.8626712557454066,20,2.2677844308186623,356,1,module_328
518,11,22,9,1,9,1,5,18,47,0.2575461881764303,0.3418922270103728,27,4.935451135989696,406,1,module_329
490,6,22,7,1,6,1,4,11,53,0.05618192650619464,0.5885006080115052,24,8.390866324495743,370,0,module_330
468,4,22,7,2,8,3,5,13,51,0.10424128515075769,0.7837178406809304,14,7.598194216750533,366,0,module_331
471,13,26,3,2,4,1,3,17,59,0.14273287088405417,0.595647456348218,21,9.76657951941395,358,0,module_332
521,5,15,8,0,9,3,1,10,53,0.08873356679681062,0.6816170737255492,21,1.4036378362290929,377,0,module_333
481,8,16,7,1,6,7,5,11,47,0.18772433361626126,0.7161205332246481,22,4.4321699694361145,378,0,module_334
515,10,27,2,1,3,2,3,15,50,0.07698073043279104,0.40586056371186974,23,2.429117214176448,356,1,module_335
513,9,22,5,4,8,4,6,11,48,0.231705126333973,0.5883868443039708,20,1.3326515564455155,373,1,module_336
483,13,19,7,1,12,2,5,13,49,0.151546228455355,0.3199242551784961,21,3.379578006650273,367,1,module_337
477,17,29,6,1,4,2,1,12,39,0.02589146503833306,0.4047382582367411,22,3.2002465976849472,360,1,module_338
505,8,26,1,0,11,2,6,16,46,0.1880996685695873,0.658577844363549,21,4.7802494661597255,359,1,module_339
498,16,16,3,0,13,1,1,17,44,0.17077305113962718,0.7015101985571672,24,2.2607308711053387,392,1,module_340
474,5,17,4,1,7,2,9,20,44,0.1015792062620018,0.4023640846141636,18,5.397108213035057,347,0,module_341
500,10,22,4,4,10,4,6,18,66,0.0033471235167064073,0.8289334891486944,24,9.280884945828179,367,0,module_342
542,7,16,3,1,6,2,4,15,36,0.06021046265231175,0.5610915215096949,20,7.733700384384834,372,0,module_343
513,9,22,7,1,5,2,2,14,52,0.12171285866470577,0.9444549501793702,22,8.5795959654394,373,0,module_344
514,6,25,9,1,11,0,3,15,37,0.059974210137989224,0.5713639063137845,20,8.2425573398938,395,0,module_345
505,7,22,4,1,8,1,4,10,63,0.17324733628190334,0.40486768350282315,15,4.506637027965707,373,0,module_346
495,6,21,3,1,8,3,6,17,49,0.21369746817787702,0.8305793210765302,15,7.380649326680516,359,0,module_347
543,12,17,4,0,8,4,2,16,41,0.2568052970252507,0.6974605603075301,21,7.788306154806978,376,1,module_348
497,10,17,4,1,8,3,2,15,62,0.1940947856051246,0.5706817177709089,21,2.8508329512931208,364,1,module_349
470,5,20,6,1,5,4,3,12,48,0.2067027663764438,0.5491700144025831,17,8.74236129957796,369,0,module_350
529,7,32,3,3,10,3,4,16,52,0.18253255956915734,0.4055382814900897,16,5.119726586700372,354,0,module_351
506,5,17,10,5,8,7,1,23,53,0.2956458172838111,0.538584239226208,23,1.1472376555844597,336,0,module_352
452,10,17,5,7,9,1,3,18,48,0.07830017072397245,0.32054089868483454,17,6.790456977524654,366,1,module_353
522,7,18,5,5,9,3,3,11,40,0.07987760415382751,0.6516813398530397,21,7.090867827261685,346,0,module_354
489,9,22,3,0,4,0,2,14,57,0.037900092426557896,0.9277066192696151,27,5.9658606700915,413,0,module_355
502,11,25,2,3,10,3,7,10,48,0.1457052977608597,0.8567315573507288,20,2.911737707624409,348,1,module_356
490,9,12,7,4,7,4,2,15,62,0.028848511089276573,0.31996483804295,29,5.340502246204587,393,0,module_357
516,10,14,5,1,8,2,8,17,57,0.08104397906943112,0.9168822283877627,22,4.601147052209564,346,0,module_358
481,12,28,4,1,4,1,5,11,51,0.14480427863141745,0.6166273802177873,20,9.772174664595333,373,0,module_359
472,10,25,6,4,12,3,7,14,42,0.2872786847790052,0.433624025790846,19,8.422105912803442,379,1,module_360
500,14,23,5,1,4,5,1,12,59,0.2891438981520502,0.8266883686507711,16,7.857096445784933,361,0,module_361
537,10,15,4,0,5,6,2,9,46,0.22312207024096672,0.5260114851239324,16,2.629663327001468,332,0,module_362
505,11,22,7,1,7,4,4,16,44,0.11677504847270548,0.47732289619579693,18,3.9793601567909493,356,1,module_363
473,8,18,4,2,12,0,4,19,47,0.2595483820129638,0.41292288474708333,13,4.417406520122982,356,1,module_364
500,12,25,2,0,11,4,8,17,44,0.2626367405722921,0.6406353348301559,23,5.433647790704316,392,1,module_365
457,9,24,3,3,11,2,1,21,42,0.2730592142389657,0.36537579968461165,21,1.2720206085892425,364,1,module_366
479,7,26,8,2,7,2,2,14,49,0.1920075144645639,0.8499291903796506,22,6.337083052671862,358,0,module_367
479,9,21,5,5,9,2,3,8,33,0.06053783868236413,0.6294722036664877,27,4.220708895748957,373,0,module_368
504,13,19,6,3,4,3,5,21,50,0.027324231831204516,0.6128834917732441,18,6.055094308833235,369,1,module_369
519,10,13,2,3,9,3,5,9,53,0.27443265121203897,0.30129776953706466,23,1.0808054583103623,350,1,module_370
501,11,26,3,1,9,4,2,17,46,0.016663832436480897,0.8725047022159929,26,3.892898250977713,378,1,module_371
494,7,16,3,2,12,1,3,15,50,0.08876701783139845,0.6449859413267776,23,7.9179945041168995,360,0,module_372
474,12,17,7,4,13,1,7,16,50,0.1460885301113211,0.6079261638609434,19,5.509733972743361,354,1,module_373
492,14,19,5,2,10,2,4,11,43,0.006593007862042743,0.8329694196990733,12,8.099985955110744,347,1,module_374
509,8,14,2,1,2,3,8,16,56,0.2720736776034732,0.3440289843705326,17,7.29064353265648,364,0,module_375
514,9,19,2,2,5,3,4,13,55,0.0861362984616705,0.5566763192666426,20,8.694285176358793,347,0,module_376
481,10,23,7,5,10,5,3,16,54,0.008551439676172567,0.7030137702876295,14,1.0669922969695627,360,1,module_377
521,9,23,8,3,8,3,5,13,49,0.2980769991679555,0.6224042939174314,19,3.351929426599545,349,1,module_378
510,15,25,4,1,4,0,7,13,48,0.09341795424525459,0.42714722291458207,25,5.939215539409734,361,1,module_379
466,9,16,4,4,11,5,5,20,48,0.26302947224561185,0.5094935553762182,26,9.469162689869641,371,0,module_380
515,19,22,4,0,7,1,3,15,40,0.13604233617626427,0.510140390353343,17,7.118111621192852,368,1,module_381
524,11,19,3,2,3,2,5,18,49,0.1989377703164997,0.9943795619356588,17,5.109299076536637,384,0,module_382
511,9,26,4,2,7,5,3,18,48,0.07232704486120642,0.5283379831646542,22,2.1712719745691476,372,0,module_383
486,11,19,6,2,9,4,6,9,41,0.1508625980931066,0.4436274437796093,21,5.43893819281707,334,1,module_384
479,7,16,5,5,10,1,1,19,56,0.07729535772750809,0.8758460071729024,24,4.969782752104596,394,0,module_385
477,9,20,5,1,8,4,6,17,54,0.28532516437953104,0.594819878502526,17,8.005989472198317,374,0,module_386
495,9,24,3,1,12,10,4,10,55,0.018283623724873885,0.6107045861409355,22,4.720137764468933,362,1,module_387
523,12,23,6,1,10,3,1,16,45,0.08240217825145423,0.6842223444470161,14,3.869542673499997,382,1,module_388
484,12,20,4,1,10,3,1,12,47,0.2679326629649636,0.7169824380837581,28,1.807477142219388,367,1,module_389
506,7,19,2,2,9,7,3,9,48,0.14401078725218514,0.7133889202872377,17,1.4185095753283012,393,0,module_390
508,10,27,5,3,9,4,4,27,49,0.180025233571251,0.3241498056877307,16,4.9522098477013925,358,1,module_391
503,10,30,7,3,8,2,4,8,49,0.19550801144869276,0.8731897030285669,27,4.121757815519662,384,1,module_392
486,13,22,8,2,5,5,5,14,52,0.021278253532069014,0.4363969733523866,13,5.997917525615732,401,0,module_393
518,13,14,0,1,9,3,3,9,54,0.005321622272575521,0.5046394894487025,22,7.407355934035612,350,1,module_394
529,6,13,5,1,5,2,8,11,48,0.28135231551339196,0.4214006640144728,22,1.3600613221642268,376,0,module_395
533,11,19,4,4,6,5,5,10,45,0.08145085358906422,0.8369536602751144,27,5.465953987325339,355,0,module_396
495,6,16,6,2,8,3,8,19,48,0.11409393313065865,0.7085605948377935,17,8.757747047637817,327,0,module_397
484,11,19,4,1,6,5,4,9,50,0.20462795121706487,0.8287073069264359,15,5.096499275262955,357,0,module_398
509,15,23,7,1,14,4,3,16,53,0.07089116312181638,0.7573788838005102,19,5.691179898556969,374,1,module_399
472,11,20,2,5,10,2,3,15,43,0.21992141105025545,0.3729110440935813,14,5.381126566450084,385,1,module_400
476,10,17,3,1,9,3,4,15,54,0.13747265464898098,0.5110498430957037,10,4.508136266350693,349,1,module_401
469,8,15,3,2,10,2,3,15,40,0.2569829415862173,0.6550856117130849,18,1.9910757153103518,418,0,module_402
485,8,16,5,4,7,4,5,14,51,0.08356219072964471,0.5134615220019545,13,2.1372059411427395,347,0,module_403
510,7,24,6,2,12,3,2,20,60,0.06114674413898956,0.4451127330842815,16,2.61180317563924,400,1,module_404
479,15,21,9,2,9,2,4,16,61,0.24950650616246162,0.9088683783466198,10,8.133081768078894,381,1,module_405
472,7,12,6,1,5,3,6,18,48,0.0978978194978501,0.8234485726507632,19,3.4779907050554186,358,0,module_406
530,12,18,7,1,6,2,2,14,44,0.1235605938001515,0.5416540423879236,30,9.533114035978697,386,1,module_407
506,13,22,2,1,9,3,4,21,64,0.2381123498063979,0.835508653840229,24,8.291531498829661,332,1,module_408
495,13,16,2,2,7,2,5,19,48,0.19067296121237248,0.7392770329116596,21,7.160866013788131,359,1,module_409
501,12,19,8,2,11,3,7,12,48,0.13251776712968072,0.30265001354267773,24,7.483542664561662,365,1,module_410
475,16,32,8,0,4,4,2,17,55,0.0749671526713674,0.5661834182081444,26,1.4286898781051605,377,1,module_411
462,8,18,8,3,8,2,4,5,34,0.22926029065552928,0.5033412494360313,16,6.1155043028789065,351,0,module_412
482,7,22,7,3,4,0,3,12,63,0.05412931034701711,0.4525360351941278,18,9.469512189295568,338,0,module_413
486,7,14,6,1,9,0,3,11,49,0.2784838801759284,0.47611257584959144,9,1.3519916505325804,342,0,module_414
515,8,24,2,3,9,1,7,14,49,0.04509482073689917,0.9596553926028657,13,3.6191486666218613,367,0,module_415
504,13,17,7,4,7,2,8,22,51,0.24148010758418884,0.640421947594076,23,1.4636034292054183,362,1,module_416
511,5,19,6,4,9,1,2,14,39,0.12727466001844012,0.8933961027568835,31,6.127674200795489,340,0,module_417
516,9,19,5,2,7,1,10,15,45,0.05580186988005361,0.4499520065070878,26,2.045805644534761,369,1,module_418
506,7,20,6,1,12,4,4,12,50,0.12071368147103134,0.4220826597521638,19,5.313251406019592,348,0,module_419
500,15,27,4,0,11,0,6,15,50,0.06646554485998007,0.9221527118197368,22,7.4795449310879025,379,1,module_420
489,7,24,4,3,7,3,3,16,47,0.04079809525075421,0.6469932800477274,19,2.479946814419208,367,0,module_421
467,4,10,4,2,9,3,2,12,44,0.07174661967916754,0.926606487718689,19,7.798279933704437,338,0,module_422
515,12,20,5,0,11,1,3,19,34,0.26021954176147577,0.34412019700989244,12,1.5418401575490883,376,1,module_423
512,7,22,4,5,9,2,6,8,55,0.03178271624394726,0.9415048655234153,14,2.3466203223129702,358,0,module_424
483,9,31,7,4,8,2,3,10,59,0.2917618763303672,0.5908117214395561,18,3.5209932686400114,380,0,module_425
521,13,14,2,1,4,0,6,24,68,0.0014995361063030455,0.40875934119529345,20,8.164891606708785,333,1,module_426
485,8,22,4,4,10,3,4,15,64,0.19747144631737293,0.7783678826046359,17,8.651232002110607,395,0,module_427
491,7,19,1,3,10,3,1,16,51,0.25695359545142576,0.8578318783059797,20,2.983418329296134,355,0,module_428
538,13,12,6,4,9,3,6,12,51,0.28018729443802926,0.33316230930698026,23,1.8620544297294652,347,1,module_429
551,13,20,1,3,11,3,4,18,49,0.04319567803702636,0.9910371820930803,19,8.631584041125265,374,1,module_430
477,11,20,6,1,8,1,1,18,56,0.20946254893570201,0.7879188211213262,17,6.844306937698963,376,1,module_431
529,14,22,6,3,9,3,2,9,53,0.03220476484669419,0.524981394160491,15,2.4206989275881323,364,1,module_432
522,13,26,0,2,10,4,6,10,42,0.10578344816233007,0.4059056569867734,27,6.019451066356773,391,1,module_433
513,12,20,6,2,4,2,4,12,57,0.21957790725209808,0.5747719902747503,23,8.851342895969815,340,1,module_434
483,7,22,1,2,11,2,6,13,39,0.10379196784892007,0.4543959623910381,16,1.6256344784658672,358,0,module_435
547,8,24,4,1,12,7,3,15,45,0.09401241848432035,0.645907256518667,20,1.753491102834522,359,1,module_436
514,13,19,6,5,8,1,3,9,45,0.03481638564072246,0.8473248959432291,19,3.462469845963113,372,1,module_437
477,11,14,7,4,7,10,4,13,61,0.0199314282984264,0.7620912722653872,18,6.87036093038791,384,0,module_438
537,9,21,6,1,5,1,2,11,56,0.03458339738452713,0.6051544333472102,26,2.6020765852353867,333,0,module_439
513,12,19,3,3,10,0,3,15,46,0.26264243248356733,0.38326074720603465,22,8.34730483885448,339,1,module_440
547,16,26,7,3,8,3,1,12,52,0.003359557614277575,0.9700098456576047,16,7.753871591154642,382,1,module_441
528,10,13,6,4,6,3,3,12,37,0.20785976086058672,0.48925936781534063,27,6.049043682651824,366,1,module_442
488,12,26,5,1,4,3,4,13,49,0.23058726896648934,0.4944841821125121,25,2.0446093393330886,359,1,module_443
481,8,23,7,1,10,3,1,21,41,0.17036649123822864,0.7518515552869727,23,9.89397845480978,350,0,module_444
461,11,22,4,2,6,4,3,15,51,0.21923260835494457,0.8393567355029719,12,5.410302666065425,362,0,module_445
489,9,24,7,1,7,1,1,15,63,0.19568090070753008,0.9889069357221447,14,5.068658330805516,338,0,module_446
457,14,22,1,1,7,3,4,16,57,0.13666754672840778,0.9784149824394643,17,9.96012171700584,406,1,module_447
502,11,21,2,0,11,5,4,12,49,0.11481312836288012,0.9396323669624564,21,8.774814371242025,396,0,module_448
488,18,19,2,2,11,2,8,10,46,0.28239959652155205,0.6047194971683448,22,5.107309606283332,348,1,module_449
531,10,23,6,2,5,3,5,13,53,0.2915813977711404,0.4166687618295136,15,4.769226873426449,381,0,module_450
481,6,13,8,1,6,2,5,17,56,0.1953814210875089,0.7091298423006394,27,1.863184443102875,386,0,module_451
529,8,20,6,1,6,1,3,17,51,0.05918965196954152,0.3120795538827376,24,9.338605717501716,375,0,module_452
530,11,25,0,3,7,2,5,17,55,0.13436974873133625,0.4373741872967754,25,8.593973629472782,334,0,module_453
545,9,20,10,2,8,5,5,14,39,0.1489612470247821,0.3017705777563352,21,3.790022435919198,384,1,module_454
518,5,19,2,1,7,3,2,8,50,0.22739101573819848,0.42637513880007716,18,7.779891588118995,344,0,module_455
499,12,20,5,1,9,1,3,14,48,0.20033313939669578,0.6323299863773792,25,7.864564836465318,381,1,module_456
519,7,16,8,1,9,1,3,15,63,0.15444432882836853,0.5753270177653911,20,3.0511964550395345,398,0,module_457
495,8,20,5,2,9,5,5,15,56,0.2041093673361471,0.5585075954486474,21,6.522899229448148,368,0,module_458
482,15,13,4,4,11,2,3,14,52,0.007217054020132185,0.8816670047537036,29,3.295259230709902,374,1,module_459
490,14,30,3,1,14,3,4,20,44,0.23299059656530913,0.7724974132519745,13,8.108974467423204,357,1,module_460
486,8,15,7,0,7,5,4,12,46,0.06348967020208329,0.9555022340097741,19,2.384287322346226,399,0,module_461
444,5,17,7,1,5,0,4,8,39,0.19692274186834471,0.6117387634743707,20,7.020153988185496,320,0,module_462
492,4,17,3,2,9,5,5,13,52,0.03419197564110275,0.49056077283316624,21,3.9341054048658513,356,0,module_463
520,7,21,3,0,11,3,3,19,51,0.034338250777410435,0.38587917662334886,25,1.3256385178174164,356,0,module_464
495,8,18,2,3,7,1,3,14,61,0.0106972931510106,0.7704191769796022,30,2.113341797898038,344,0,module_465
548,6,16,2,1,5,2,5,18,54,0.27306984304605353,0.8892187619301599,18,6.894092243652346,353,0,module_466
507,19,24,7,1,14,3,7,11,55,0.1813676273075436,0.4286175549832294,16,3.1592287289978414,372,1,module_467
547,8,23,4,7,14,4,7,13,52,0.10858858086874448,0.9151269211587754,18,6.679318353262044,366,0,module_468
507,8,19,1,1,9,4,4,19,42,0.23633332230579263,0.6683933411867331,21,4.733399494011582,386,0,module_469
481,7,18,3,1,12,3,2,13,61,0.18782466018739963,0.4008564424986663,18,7.23442117488622,366,0,module_470
480,7,16,10,0,10,2,5,18,62,0.18602415537388212,0.7500043274312285,18,5.436537599669321,371,0,module_471
519,12,18,3,5,12,1,5,15,41,0.14611283830890204,0.6640369190760493,23,3.776923874450539,333,1,module_472
531,7,14,6,1,8,6,4,16,46,0.0023780336004626036,0.3197284831189126,18,2.312372618718417,351,0,module_473
493,6,20,4,2,10,5,4,14,56,0.07753875192748196,0.579470243308637,25,4.069884271791522,388,0,module_474
513,14,28,5,0,8,0,5,17,71,0.032723008380024884,0.8493515950600377,22,6.714046701340778,360,1,module_475
523,5,17,3,2,11,1,4,14,51,0.19872295570583282,0.688796627395475,21,7.664261546776919,346,0,module_476
481,8,17,7,2,9,3,1,16,62,0.07458624653609931,0.49742878838377136,21,2.443057073559915,357,1,module_477
506,13,10,5,4,8,5,4,10,53,0.1350499992153621,0.9500492343677847,21,6.978451679993054,361,1,module_478
464,11,24,2,2,14,1,3,15,59,0.10602908948696488,0.46644532663070193,9,2.6135155868636106,338,1,module_479
484,6,20,6,2,10,3,6,12,53,0.04295962137760919,0.47691520485283123,17,2.996374091409851,394,0,module_480
528,8,15,3,2,7,5,4,24,47,0.2875110698648158,0.5482475423961841,25,5.781855162520135,323,0,module_481
510,5,18,2,0,9,1,5,10,57,0.28002579348816475,0.9261765028792899,17,3.602820717784673,375,0,module_482
463,8,20,7,5,8,3,4,10,58,0.025382455810992164,0.6553377767978614,16,6.954358971128379,378,0,module_483
492,10,19,6,1,10,2,2,18,47,0.24820960605839892,0.7775253414580802,19,9.601989618173844,320,0,module_484
515,11,22,3,6,10,5,3,13,53,0.14651210481491195,0.9833849207571963,16,2.340029812036548,368,1,module_485
462,8,19,5,3,10,4,3,13,57,0.23212076537425538,0.8483074078246551,18,6.13459749078475,366,0,module_486
512,15,24,7,3,6,1,5,11,65,0.045347139274130074,0.42082008305576524,16,9.309692644058735,335,1,module_487
527,7,20,4,2,12,6,9,13,59,0.03968224133326311,0.8518477503279835,20,2.5887607898645113,371,1,module_488
499,12,21,4,1,6,2,4,16,39,0.2672272502685612,0.8238360044582131,15,4.301658130463723,364,1,module_489
524,10,10,3,5,4,2,5,19,33,0.2693458475523182,0.4628318961340579,24,2.1125515149080845,365,1,module_490
512,9,15,6,0,14,4,6,19,52,0.13977364882608265,0.5277448816213312,17,6.778339464825535,375,1,module_491
